Y	DCOST	CARS	DOVTT	DIVTT
1	33	2	10	36
0	-69.5	1	0	3
1	-41	0	4	14
0	-40.5	0	1	0
1	21	0	21	24
0	-7.5	0	0	6
0	-42.5	0	0	2
0	10	0	4	6
0	29	0	12	18
1	-20.5	0	9.5	19
0	14	0	10	12
1	5	1	11	4
0	-53	0	-3	2
0	20	1	27	25
1	-44.5	1	-2	-4
1	-40.5	1	4	3
0	-65.5	1	1	7
1	-56	1	3	4
0	-46.5	0	-1	0
1	16	1	6	-5
1	-72.5	1	6	3
1	-75.5	1	-1	9
1	30	0	10	9
1	-15	2	4	14
1	1	1	12	23
0	-55	1	6	12
0	-73.5	1	6	7
0	-37.5	0	7	14
1	-33	1	13	5
1	-16.5	3	4	1
1	-52.5	1	15	13
0	-68	0	2	11
1	-22.5	1	11	11
1	-20.5	1	13	20
1	-32.5	2	7	12
1	-53.5	1	3	10
1	-4.5	1	2	4
1	-40.5	1	5	16
1	21	1	3	0
1	25	1	12.5	28
0	-10	1	10	5
0	-49.5	1	3	11
0	-72.5	0	-2	9
0	-70.5	0	3	0
1	-34.5	1	5	4
1	22	2	10	31
0	1	1	5	25
0	-75.5	0	-2	11
1	-71.5	3	-2	7
1	-52	1	1	17
1	-9	2	10	27
1	-22.5	1	4	14
0	-70.5	0	5	14
1	-44	2	9	6
1	3	1	13	19
1	-24	1	1	-1
0	28	0	20.5	9
0	21	0	4	-1
0	-45	1	7	-5
0	-68	0	0	10
0	-53	0	3	13
1	14	1	9	7
1	28	0	10	11
0	-12.5	0	9.5	10
0	-22.5	0	5	4
0	-11	0	8	5
1	-3.5	2	1	4
1	-69.5	1	-3	13
0	-68.5	1	-2	10
1	-68.5	2	-2	10
0	-47.5	1	-3	11
1	23	2	6	5
0	-77.5	0	0	14
0	-74.5	2	5	6
1	9	1	8	19
1	-15	2	9	8
1	-2	1	1	0
0	-5.5	0	10	4
0	-5.5	0	8	11
1	15	1	17.5	21
0	30	0	9.5	8
1	-21	0	5	8
1	-32.5	2	1	11
1	-3.5	1	6	-1
1	21	1	6	3
0	-66	2	1	4
0	-44.5	0	1	6
0	8	0	7	5
0	14	0	8	10
0	-34.5	0	6	16
1	-5.5	1	15	23
0	-41	0	-1	6
0	-58.5	0	0	5
1	16	2	42	33
0	-9.5	0	9	8
0	-42.5	1	4	6
1	-59.5	2	-3	2
0	-74.5	2	-3	12
0	-51.5	0	6	24
1	11	2	20	39
1	-38.5	1	3	11
1	3.5	1	5	19
1	27	1	14	13
0	-66.5	1	7	3
1	13	2	17	13
1	26	2	12	8
1	50	1	26	40
1	19	1	18	3
1	38	4	19.5	21
0	-41	0	7	10
1	-65.5	0	8	3
1	-41	1	0	4
1	-38.5	2	-1	2
1	-10	1	8	-2
1	-35	1	5	9
1	-67.5	1	2	5
0	-65.5	1	-2	11
0	-33	1	-3	8
0	-24	0	1	4
0	-67.5	2	-1	8
0	-49	1	2	8
0	22	0	3	-1
1	-32	2	5	6
1	17	1	12.5	4
1	39	3	20.5	29
0	-64.5	1	-3	5
1	-13.5	1	25	20
0	-85.5	0	-1	12
1	37	1	20	44
0	-52	1	3	12
1	-1.5	3	9.5	1
1	-84.5	1	-1	11
1	-18.5	1	3	12
1	-55.5	2	11	17
1	0.5	2	7.5	3
1	-86.5	2	-2	10
0	-74	1	5	13
1	-72	2	2	5
1	51	4	21	24
1	-74	2	6	7
1	-78.5	2	-2	8
1	-6.5	1	13	21
1	-48	1	0	7
1	-17.5	1	6	25
0	-5.5	0	-1	4
1	-63	0	-2	15
0	48	0	21	14
1	-6	1	6	20
1	-56	2	2	9
0	-7.5	0	5	3
1	-73.5	2	1	5
1	-83.5	1	4	11
1	-17	2	11	30
1	-54.5	1	5	10
1	-50	2	11	8
1	-37	1	2	8
0	-39.5	1	3	10
0	-25	0	3	2
0	-84.5	1	1	-5
0	-54.5	2	-1	8
1	-15	1	10	21
1	-49	2	6	6
1	23	2	7	1
1	15	2	3	5
1	14	2	4	8
0	-53	0	4	7
0	-35.5	0	2	11
1	-9.5	1	14	7
1	16	2	10	5
1	16	1	10	5
1	-2	2	11	29
1	-49.5	1	4	9
1	-6.5	1	6	16
1	26	2	21.5	31
1	47	1	32	53
1	1	1	15	17
1	-39.5	1	20	20
1	0	2	38	19
0	-84.5	1	0	10
1	-40.5	2	0	7
1	0.5	1	15	11
1	-11.5	1	10	14
0	1	1	10	20
0	-48.5	0	3	14
1	-80.5	1	2	15
1	-11	2	9	10
1	-66.5	1	6	30
0	-45.5	1	12.5	25
1	-1	1	7	19
1	-11.5	2	11	9
1	-41.5	1	19.5	10
1	51	1	10.5	-1
1	-6.5	1	5	2
0	-83.5	1	3	-2
0	-38.5	0	4	8
1	-29	1	4	24
0	-40.5	1	7	15
1	-17.5	1	9	16
1	-81.5	2	11	3
1	42	2	17.5	21
0	-13.5	2	11	6
1	-7	1	8	26
1	20	1	15.5	18
1	32	0	15	28
1	-74.5	1	10	3
1	-53.5	1	4	11
1	-39	1	9	6
0	-84.5	0	3	8
1	-82.5	2	-1	9
1	-15.5	1	17	6
0	-11	0	6	28
